2.500000000000000000e+01 8.000000000000000444e-01
3.900000000000000000e+01 1.199999999999999956e+00
6.200000000000000000e+01 1.899999999999999911e+00
9.900000000000000000e+01 3.000000000000000000e+00
1.580000000000000000e+02 4.599999999999999645e+00
2.510000000000000000e+02 7.400000000000000355e+00
3.980000000000000000e+02 1.190000000000000036e+01
6.310000000000000000e+02 1.930000000000000071e+01
1.002000000000000000e+03 3.060000000000000142e+01
1.589000000000000000e+03 4.810000000000000142e+01
2.521000000000000000e+03 7.650000000000000000e+01
4.000000000000000000e+03 1.210000000000000000e+02
