0.000000000000000000e+00 1.161533989943563938e-03 2.128571941284462810e-04 7.854840368963778019e-04
2.000000000000000000e+00 4.729240608867257833e-04 8.844628609949722886e-05 3.029685758519917727e-04
4.000000000000000000e+00 3.181099018547683954e-04 5.828382199979387224e-05 2.161036245524883270e-04
6.000000000000000000e+00 2.554922830313444138e-04 4.555646228254772723e-05 1.470292918384075165e-04
8.000000000000000000e+00 2.127382031176239252e-04 3.550301698851399124e-05 1.250350615009665489e-04
1.000000000000000000e+01 1.658447727095335722e-04 3.216960612917318940e-05 9.558969759382307529e-05
1.200000000000000000e+01 1.328445941908285022e-04 2.515672713343519717e-05 7.414164429064840078e-05
1.400000000000000000e+01 1.189751856145448983e-04 2.145410871889907867e-05 6.104664498707279563e-05
1.600000000000000000e+01 9.463032620260491967e-05 1.944636278494726866e-05 2.883699380618054420e-05
1.800000000000000000e+01 8.053325291257351637e-05 1.923634226841386408e-05 1.688868724158965051e-05
2.000000000000000000e+01 6.202940130606293678e-05 1.455850269849179313e-05 2.095983290928415954e-05
2.200000000000000000e+01 5.623471224680542946e-05 1.396254810970276594e-05 2.409070475550834090e-05
2.400000000000000000e+01 5.838829383719712496e-05 1.163934030046220869e-05 1.565915044920984656e-05
2.600000000000000000e+01 6.168845720821991563e-05 8.976387107395567000e-06 2.270439472340513021e-05
2.800000000000000000e+01 4.487010301090776920e-05 8.579380846640560776e-06 2.398537617409601808e-05
3.000000000000000000e+01 4.297024861443787813e-05 9.070539817912504077e-06 1.501273072790354490e-05
3.200000000000000000e+01 3.330140316393226385e-05 8.458862794213928282e-06 1.262478235730668530e-05
3.400000000000000000e+01 4.652205461752600968e-05 1.053221149049932137e-05 1.412432720826473087e-05
3.600000000000000000e+01 3.935789573006331921e-05 1.015346424537710845e-05 2.435562964819837362e-05
3.800000000000000000e+01 4.100285877939313650e-05 1.182198866445105523e-05 2.071676681225653738e-05
4.000000000000000000e+01 3.486606510705314577e-05 9.595974006515461951e-06 1.515584062872221693e-05
4.200000000000000000e+01 3.578990435926243663e-05 8.763880032347515225e-06 1.803436680347658694e-05
4.400000000000000000e+01 4.152250403421930969e-05 1.094931121770059690e-05 2.495177977834828198e-05
4.600000000000000000e+01 4.983347389497794211e-05 9.657631380832754076e-06 1.790742862795013934e-05
4.800000000000000000e+01 4.933972013532184064e-05 8.562422408431302756e-06 9.174368642561603338e-06
5.000000000000000000e+01 2.678940290934406221e-05 1.108608648792142048e-05 1.952169259311631322e-05
5.200000000000000000e+01 3.749437746591866016e-05 9.422494258615188301e-06 1.521861122455447912e-05
5.400000000000000000e+01 2.516317726986017078e-05 4.508561232796637341e-06 9.396244422532618046e-06
5.600000000000000000e+01 2.917516758316196501e-05 4.166551661910489202e-06 5.030827651353320107e-06
5.800000000000000000e+01 6.582568857993464917e-06 4.675571744883200154e-06 7.625147190992720425e-06
6.000000000000000000e+01 1.974223050638101995e-05 6.015111921442439780e-06 1.102088754123542458e-05
